id,Name,Phone,email,password
1,Abul Khayer,01212XXXXXX,customer1@email.com,12345678
2,Abul Jabbar,01251XXXXXX,customer2@email.com,12345678
3,Abdullah,01235XXXXXX,customer3@email.com,12345678
4,Al Mahmud,01584XXXXXX,customer4@email.com,12345678
5,Abul Jabbar,01214 XXXXXX,customer5@email.com,12345678
6,Abdullah,02314 XXXXXX,customer6@email.com,12345678
7,Abul Khayer,01231 XXXXXX,customer7@email.com,12345678
8,Abul Jabbar,01531 XXXXXX,customer8@email.com,12345678
9,Abul Khayer,01261 XXXXXX,customer9@email.com,12345678
10,Abul Jabbar,01291 XXXXXX,customer10@email.com,12345678
